"Total_ARGs"	"blaZ"	"mecA"	"mecC"	"Category"	"Genome"
10	"100.00"	"0"	0	"MRSA"	"GCA_001444345.1_ASM144434v1"
12	"0"	"100.00"	0	"MRSA"	"GCA_001457495.1_NCTC13435"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_001465635.1_ASM146563v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_001465675.1_ASM146567v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_001465755.1_ASM146575v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_001515665.1_ASM151566v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_001515685.1_ASM151568v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_001515705.1_ASM151570v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_001515745.1_ASM151574v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_001515765.1_ASM151576v1"
8	"0"	"0"	0	"MSSA"	"GCA_001548295.1_ASM154829v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_001548415.1_ASM154841v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_001549655.1_ASM154965v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_001549675.1_ASM154967v1"
14	"100.00"	"0"	0	"MRSA"	"GCA_001558795.2_ASM155879v2"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_001580495.1_ASM158049v1"
15	"100.00;100.00;99.17;100.00;98.23"	"100.00"	0	"MRSA"	"GCA_001580515.1_ASM158051v1"
8	"0"	"0"	0	"MSSA"	"GCA_001594205.1_ASM159420v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_001611325.1_ASM161132v1"
9	"0"	"0"	0	"MSSA"	"GCA_001611345.1_ASM161134v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_001611365.1_ASM161136v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_001611385.1_ASM161138v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_001611405.1_ASM161140v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_001611425.1_ASM161142v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_001618305.1_ASM161830v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_001640885.1_ASM164088v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_001640905.1_ASM164090v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_001640925.1_ASM164092v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_001641025.1_ASM164102v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_001641045.1_ASM164104v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_001656045.1_ASM165604v1"
8	"0"	"0"	0	"MSSA"	"GCA_001656075.1_ASM165607v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_001717645.3_ASM171764v3"
10	"100.00;100.00"	"0"	0	"MRSA"	"GCA_001717665.2_ASM171766v2"
17	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_001717685.3_ASM171768v3"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_001717705.2_ASM171770v2"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_001717725.2_ASM171772v2"
15	"100.00"	"0"	0	"MRSA"	"GCA_001717975.3_ASM171797v3"
14	"0"	"100.00"	0	"MRSA"	"GCA_001725965.1_ASM172596v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_001735655.2_ASM173565v2"
10	"0"	"0"	0	"MSSA"	"GCA_001879545.1_ASM187954v1"
9	"0"	"100.00"	0	"MRSA"	"GCA_001880265.1_ASM188026v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_001887075.1_ASM188707v1"
9	"0"	"0"	0	"MSSA"	"GCA_001900185.1_ASM190018v1"
10	"0"	"0"	0	"MSSA"	"GCA_001956755.1_ASM195675v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_001956815.1_ASM195681v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_001975005.1_ASM197500v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_001975045.1_ASM197504v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_001986135.1_ASM198613v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_002000565.1_ASM200056v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_002000585.1_ASM200058v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_002000605.1_ASM200060v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000625.1_ASM200062v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000645.1_ASM200064v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000665.1_ASM200066v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_002000685.1_ASM200068v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000705.1_ASM200070v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000725.1_ASM200072v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000745.1_ASM200074v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000765.1_ASM200076v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000785.1_ASM200078v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000805.1_ASM200080v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000825.1_ASM200082v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_002000845.1_ASM200084v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_002000865.1_ASM200086v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_002025125.1_ASM202512v1"
8	"0"	"0"	0	"MSSA"	"GCA_002025145.1_ASM202514v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_002085525.1_ASM208552v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_002088995.1_ASM208899v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_002089035.2_ASM208903v2"
10	"0"	"100.00;100.00"	0	"MRSA"	"GCA_002089055.1_ASM208905v1"
8	"0"	"0"	0	"MSSA"	"GCA_002089075.2_ASM208907v2"
12	"100.00"	"0"	0	"MRSA"	"GCA_002089095.2_ASM208909v2"
8	"0"	"0"	0	"MSSA"	"GCA_002089115.2_ASM208911v2"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_002097595.2_ASM209759v2"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_002140115.1_ASM214011v1"
9	"0"	"0"	0	"MSSA"	"GCA_002202075.1_ASM220207v1"
9	"0"	"0"	0	"MSSA"	"GCA_002202095.1_ASM220209v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_002204555.1_ASM220455v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_002204575.1_ASM220457v1"
10	"0"	"0"	0	"MSSA"	"GCA_002209325.1_ASM220932v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_002214665.1_ASM221466v1"
9	"0"	"0"	0	"MSSA"	"GCA_002310395.1_ASM231039v1"
9	"0"	"0"	0	"MSSA"	"GCA_002310435.1_ASM231043v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_002355355.1_ASM235535v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_002356675.1_ASM235667v1"
9	"0"	"0"	0	"MSSA"	"GCA_002386245.1_ASM238624v1"
13	"0"	"100.00"	0	"MRSA"	"GCA_002442975.1_ASM244297v1"
8	"0"	"0"	0	"MSSA"	"GCA_002633765.1_ASM263376v1"
10	"99.88"	"0"	0	"MRSA"	"GCA_002633785.1_ASM263378v1"
12	"0"	"0"	0	"MSSA"	"GCA_002633805.1_ASM263380v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_002633825.1_ASM263382v1"
8	"0"	"0"	0	"MSSA"	"GCA_002633845.1_ASM263384v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_002633865.1_ASM263386v1"
9	"0"	"0"	0	"MSSA"	"GCA_002786465.1_ASM278646v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_002786535.1_ASM278653v1"
10	"100.00"	"100.00"	0	"MRSA"	"GCA_002795285.1_ASM279528v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_002803885.1_ASM280388v1"
9	"0"	"0"	0	"MSSA"	"GCA_002850395.1_ASM285039v1"
9	"0"	"0"	0	"MSSA"	"GCA_002850415.1_ASM285041v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_002895385.1_ASM289538v1"
9	"0"	"0"	0	"MSSA"	"GCA_002952015.1_ASM295201v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_003010475.1_ASM301047v1"
11	"100.00"	"0"	0	"MRSA"	"GCA_003010875.1_ASM301087v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003029645.1_ASM302964v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_003030065.1_ASM303006v1"
9	"0"	"0"	100	"MRSA"	"GCA_003030085.1_ASM303008v1"
9	"0"	"0"	0	"MSSA"	"GCA_003030225.1_ASM303022v1"
10	"100.00;100.00"	"0"	0	"MRSA"	"GCA_003031285.1_ASM303128v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003031425.1_ASM303142v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_003031485.1_ASM303148v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_003073395.1_ASM307339v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_003073415.1_ASM307341v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_003073435.1_ASM307343v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_003073635.1_ASM307363v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003073655.1_ASM307365v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_003073715.1_ASM307371v1"
10	"100.00"	"100.00"	0	"MRSA"	"GCA_003073755.1_ASM307375v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_003073775.1_ASM307377v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_003111725.1_ASM311172v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_003111745.1_ASM311174v1"
8	"0"	"0"	0	"MSSA"	"GCA_003184985.1_ASM318498v1"
8	"0"	"0"	0	"MSSA"	"GCA_003185005.1_ASM318500v1"
9	"100.00;100.00"	"0"	0	"MRSA"	"GCA_003186105.1_ASM318610v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_003186125.1_ASM318612v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_003193665.1_ASM319366v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_003193685.1_ASM319368v1"
17	"0"	"100.00"	0	"MRSA"	"GCA_003193705.1_ASM319370v1"
15	"99.88"	"100.00"	0	"MRSA"	"GCA_003193725.1_ASM319372v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_003193745.1_ASM319374v1"
10	"100.00"	"100.00"	0	"MRSA"	"GCA_003193765.1_ASM319376v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_003193785.1_ASM319378v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003193885.1_ASM319388v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003193965.1_ASM319396v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003194005.1_ASM319400v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003194025.1_ASM319402v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_003194405.1_ASM319440v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_003203595.1_ASM320359v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003203615.1_ASM320361v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_003203635.1_ASM320363v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003203655.1_ASM320365v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003203675.1_ASM320367v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003264775.1_ASM326477v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_003264815.1_ASM326481v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_003288395.1_ASM328839v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003330905.1_ASM333090v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_003342735.1_ASM334273v1"
12	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_003342775.1_ASM334277v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003347055.1_ASM334705v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_003351925.1_ASM335192v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003354545.1_ASM335454v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003354565.1_ASM335456v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003354585.1_ASM335458v1"
9	"0"	"0"	0	"MSSA"	"GCA_003354605.1_ASM335460v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003354625.1_ASM335462v1"
9	"0"	"0"	0	"MSSA"	"GCA_003354645.1_ASM335464v1"
16	"0"	"100.00"	0	"MRSA"	"GCA_003354665.1_ASM335466v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003354685.1_ASM335468v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003354705.1_ASM335470v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003354725.1_ASM335472v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003354745.1_ASM335474v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003354765.1_ASM335476v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003354785.1_ASM335478v1"
9	"0"	"0"	0	"MSSA"	"GCA_003354805.1_ASM335480v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003354865.1_ASM335486v1"
9	"0"	"0"	0	"MSSA"	"GCA_003354885.1_ASM335488v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003354905.1_ASM335490v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003354925.1_ASM335492v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003354945.1_ASM335494v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003354965.1_ASM335496v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003354985.1_ASM335498v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_003394105.1_ASM339410v1"
12	"100.00"	"0"	0	"MRSA"	"GCA_003425545.1_ASM342554v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003425835.1_ASM342583v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003425885.1_ASM342588v1"
12	"100.00"	"0"	0	"MRSA"	"GCA_003425915.1_ASM342591v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_003426145.1_ASM342614v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_003431365.1_ASM343136v1"
19	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_003432345.1_ASM343234v1"
18	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_003432365.1_ASM343236v1"
9	"0"	"0"	0	"MSSA"	"GCA_003490125.1_ASM349012v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_003573835.1_ASM357383v1"
8	"0"	"0"	0	"MSSA"	"GCA_003573855.1_ASM357385v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003595365.1_ASM359536v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003595385.1_ASM359538v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_003595405.1_ASM359540v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003595425.1_ASM359542v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003595445.1_ASM359544v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_003595465.1_ASM359546v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003595485.1_ASM359548v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_003595505.1_ASM359550v1"
8	"0"	"0"	0	"MSSA"	"GCA_003609855.1_ASM360985v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_003609895.1_ASM360989v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_003609915.1_ASM360991v1"
8	"0"	"0"	0	"MSSA"	"GCA_003627835.1_ASM362783v1"
12	"0"	"100.00"	0	"MRSA"	"GCA_003827735.1_ASM382773v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_003827915.1_ASM382791v1"
9	"0"	"0"	0	"MSSA"	"GCA_003855575.1_ASM385557v1"
9	"0"	"0"	0	"MSSA"	"GCA_003944865.1_ASM394486v1"
12	"0"	"0"	0	"MSSA"	"GCA_003945405.1_ASM394540v1"
15	"0"	"100.00"	0	"MRSA"	"GCA_003945425.1_ASM394542v1"
10	"0"	"0"	0	"MSSA"	"GCA_003952625.1_ASM395262v1"
9	"0"	"0"	0	"MSSA"	"GCA_003955945.1_ASM395594v1"
9	"0"	"0"	0	"MSSA"	"GCA_003957315.1_ASM395731v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_003991015.1_ASM399101v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_004026165.1_ASM402616v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_004026185.1_ASM402618v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_004118995.1_ASM411899v1"
11	"0"	"100.00"	0	"MRSA"	"GCA_004136235.1_ASM413623v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_004136255.1_ASM413625v1"
18	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_004136655.1_ASM413665v1"
17	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_004153345.1_ASM415334v1"
12	"100.00;99.76"	"100.00"	0	"MRSA"	"GCA_004153365.1_ASM415336v1"
9	"0"	"0"	0	"MSSA"	"GCA_004193875.1_ASM419387v1"
9	"0"	"0"	0	"MSSA"	"GCA_004193895.1_ASM419389v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_004208595.1_ASM420859v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_004368035.1_ASM436803v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_004421085.1_ASM442108v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_004614295.1_ASM461429v1"
10	"0"	"99.95"	0	"MRSA"	"GCA_004614315.1_ASM461431v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_004771335.1_ASM477133v1"
9	"0"	"0"	0	"MSSA"	"GCA_004771515.1_ASM477151v1"
8	"0"	"0"	0	"MSSA"	"GCA_004771975.1_ASM477197v1"
8	"0"	"0"	0	"MSSA"	"GCA_004772055.1_ASM477205v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_004772175.1_ASM477217v1"
9	"0"	"0"	0	"MSSA"	"GCA_004772215.1_ASM477221v1"
11	"0"	"100.00"	0	"MRSA"	"GCA_004785995.1_ASM478599v1"
8	"0"	"0"	0	"MSSA"	"GCA_004797195.1_ASM479719v1"
