"Genome"	"Total_ARGs"	"blaZ"	"mecA"	"mecC"	"Category"	"Total_Transporters"	"Max_Bitscore"	"Min_Bitscore"	"Mean_Bitscore"	"Median_Bitscore"	"Max_E_Value"	"Min_E_Value"	"Mean_E_Value"	"Median_E_Value"	"Max_Identity"	"Min_Identity"	"Mean_Identity"	"Median_Identity"	"Max_Length"	"Min_Length"	"Mean_Length"	"Median_Length"
"GCA_000012045.1_ASM1204v1"	11	0	1	0	"MRSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"1.324.603.707"	74.885	710	287	"-920.022.095"	510
"GCA_000013425.1_ASM1342v1"	9	0	0	0	"MSSA"	13	986	548	"-673.918.346"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000013465.1_ASM1346v1"	13	0	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000016805.1_ASM1680v1"	15	1	1	0	"MRSA"	13	983	548	"-1.878.210.402"	853	0	0	0	0	99.795	49.842	"-385.250.777"	74.732	710	287	"-920.022.095"	510
"GCA_000017085.1_ASM1708v1"	15	1	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000024585.1_ASM2458v1"	10	0	0	0	"MSSA"	13	983	548	"-1.105.541.593"	854	0	0	0	0	99.795	49.684	"-574.979.938"	74.885	710	287	"-920.022.095"	510
"GCA_000025145.2_ASM2514v1"	14	0	1	0	"MRSA"	13	983	548	"1.257.753.679"	855	0	0	0	0	99.795	49.842	"-711.398.164"	74.885	710	287	"-920.022.095"	510
"GCA_000027045.1_ASM2704v1"	20	1	1	0	"MRSA"	13	986	548	"1.689.376.926"	855	0	0	0	0	99.795	49.684	"-2.026.301.834"	75.187	710	287	"-1.692.690.905"	510
"GCA_000144955.2_ASM14495v2"	10	1	1	0	"MRSA"	13	985	548	"-1.401.298.314"	855	0	0	0	0	99.795	50	"-1.298.921.866"	74.732	710	287	"-1.692.690.905"	510
"GCA_000145595.1_ASM14559v1"	19	1	1	0	"MRSA"	13	986	548	"192.086.646"	841	0	0	0	0	99.795	49.684	"1.256.988.908"	75.187	710	287	"1.376.719.163"	510
"GCA_000159535.2_ASM15953v2"	11	1	1	0	"MRSA"	13	986	549	"144.039.306"	853	0	0	0	0	99.795	49.684	"-420.777.196"	75.187	710	287	"-1.692.690.905"	510
"GCA_000160335.2_ASM16033v2"	10	1	0	0	"MRSA"	13	986	549	"-1.401.298.314"	855	0	0	0	0	99.795	49.684	"666.578.865"	75.187	710	287	"-1.692.690.905"	510
"GCA_000189435.3_ASM18943v3"	8	0	0	0	"MSSA"	13	999	547	"575.662.553"	855	0	0	0	0	99.59	49.842	"774.898.452"	75.038	710	287	"284.269.962"	510
"GCA_000189455.3_ASM18945v3"	8	0	0	0	"MSSA"	13	999	549	"-969.675.067"	855	0	0	0	0	99.795	49.842	"-1.991.921.428"	75.038	710	287	"284.269.962"	510
"GCA_000204665.1_ASM20466v1"	15	1	1	0	"MRSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	49.684	"-1.764.925.519"	75.187	710	287	"-1.692.690.905"	510
"GCA_000210315.1_ASM21031v1"	9	0	0	0	"MSSA"	13	984	548	"-673.918.346"	855	0	0	0	0	99.795	49.842	"2.058.859.756"	74.732	710	287	"-920.022.095"	510
"GCA_000237125.3_ASM23712v3"	10	0	1	0	"MRSA"	13	984	548	"-673.918.346"	855	0	0	0	0	99.795	49.842	"-441.999.754"	74.771	710	287	"1.443.273.177"	510
"GCA_000237265.1_ASM23726v1"	10	0	0	1	"MRSA"	13	985	548	"797"	855	0	0	0	0	99.795	49.842	"1.861.108.500"	74.732	710	287	"-920.022.095"	510
"GCA_000239235.1_ASM23923v1"	15	2	1	0	"MRSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	49.684	"-1.878.423.473"	75.037	710	287	"-920.022.095"	510
"GCA_000245495.1_ASM24549v1"	10	0	0	0	"MSSA"	13	986	548	"-1.060.252.751"	853	0	0	0	0	99.795	50	"2.097.272.517"	74.732	710	287	"-533.687.690"	510
"GCA_000253135.1_ASM25313v1"	12	1	0	0	"MRSA"	13	983	548	"1.257.753.679"	855	0	0	0	0	99.795	49.842	"-711.398.164"	74.885	710	287	"-920.022.095"	510
"GCA_000284535.1_ASM28453v1"	10	1	1	0	"MRSA"	13	985	548	"-1.491.875.998"	855	0	0	0	0	99.795	49.684	"-1.670.358.095"	74.885	710	287	"-920.022.095"	510
"GCA_000296595.1_ASM29659v1"	12	1	1	0	"MRSA"	13	986	548	"916.708.116"	855	0	0	0	0	99.795	49.684	"881.520.325"	75.187	710	287	"-1.306.356.500"	510
"GCA_000382965.1_ASM38296v1"	13	1	1	0	"MRSA"	13	983	548	"2.030.422.489"	855	0	0	0	0	99.795	49.842	"-1.156.773.573"	74.885	710	287	"-920.022.095"	510
"GCA_000382985.1_ASM38298v1"	13	0	1	0	"MRSA"	13	983	548	"2.030.422.489"	855	0	0	0	0	99.795	49.842	"-1.156.773.573"	74.885	710	287	"-920.022.095"	510
"GCA_000383005.1_ASM38300v1"	13	1	1	0	"MRSA"	13	983	548	"2.030.422.489"	855	0	0	0	0	99.795	49.842	"-1.156.773.573"	74.885	710	287	"-920.022.095"	510
"GCA_000412775.1_ASM41277v1"	14	1	1	0	"MRSA"	13	986	548	"2.030.422.489"	855	0	0	0	0	99.652	49.684	"1.998.672.738"	75.037	710	287	"1.443.273.177"	510
"GCA_000418345.1_ASM41834v1"	20	1	1	0	"MRSA"	13	986	548	"1.689.376.926"	855	0	0	0	0	99.795	49.684	"-2.026.301.834"	75.187	710	287	"-1.692.690.905"	510
"GCA_000462955.1_ASM46295v1"	9	1	0	0	"MRSA"	13	983	548	"-673.918.346"	853	0	0	0	0	99.795	50.158	"-831.772.199"	74.885	710	287	"1.829.607.582"	510
"GCA_000463055.1_ASM46305v1"	13	1	1	0	"MRSA"	13	986	546	"-287.583.941"	855	0	0	0	0	99.795	49.842	"-909.149.420"	75.037	710	287	"-920.022.095"	510
"GCA_000470845.1_ASM47084v1"	9	0	1	0	"MRSA"	13	984	548	"-287.583.941"	855	0	0	0	0	99.795	49.842	"-441.999.754"	74.771	710	287	"1.443.273.177"	510
"GCA_000470865.1_ASM47086v1"	9	0	1	0	"MRSA"	13	984	548	"-673.918.346"	855	0	0	0	0	99.795	49.842	"-441.999.754"	74.771	710	287	"1.443.273.177"	510
"GCA_000485885.1_ASM48588v1"	20	1	1	0	"MRSA"	13	986	548	"-1.446.587.156"	855	0	0	0	0	99.795	49.684	"1.823.290.053"	75.187	710	287	"-1.692.690.905"	510
"GCA_000568455.1_ASM56845v1"	15	1	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000597965.1_ASM59796v1"	9	0	0	0	"MSSA"	13	983	548	"1.257.753.679"	855	0	0	0	0	99.795	49.842	"-711.398.164"	74.885	710	287	"-920.022.095"	510
"GCA_000626615.3_ASM62661v3"	10	0	1	0	"MRSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"1.324.603.707"	74.885	710	287	"-920.022.095"	510
"GCA_000695215.1_ASM69521v1"	10	1	1	0	"MRSA"	13	985	548	"-1.491.875.998"	855	0	0	0	0	99.795	49.684	"-1.538.523.924"	74.885	710	287	"-920.022.095"	510
"GCA_000695875.1_ASM69587v1"	10	0	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000709475.1_ASM70947v1"	19	1	1	0	"MRSA"	13	986	548	"1.303.042.521"	855	0	0	0	0	99.795	49.684	"-2.026.301.834"	75.187	710	287	"-1.692.690.905"	510
"GCA_000737615.1_ASM73761v1"	12	0	1	0	"MRSA"	13	984	548	"-673.918.346"	855	0	0	0	0	99.795	49.842	"-441.999.754"	74.771	710	287	"1.443.273.177"	510
"GCA_000746505.1_ASM74650v1"	14	1	1	0	"MRSA"	13	986	548	"-673.918.346"	855	0	0	0	0	99.795	50	"-659.233.241"	74.885	710	287	"-920.022.095"	510
"GCA_000756205.1_ASM75620v1"	9	0	0	0	"MSSA"	13	986	549	"1.303.042.521"	851	0	0	0	0	99.795	49.525	"802.997.090"	75.187	710	287	"-1.692.690.905"	510
"GCA_000769575.1_ASM76957v1"	19	1	1	0	"MRSA"	13	986	548	"1.689.376.926"	855	0	0	0	0	99.795	49.684	"28.036.254"	75.187	710	287	"-1.692.690.905"	510
"GCA_000772025.1_ASM77202v1"	11	1	0	0	"MRSA"	13	985	549	"-380.920.123"	855	0	0	0	0	99.795	55.05	"-1.202.910.129"	75.878	710	287	"878.541.903"	509
"GCA_000815045.1_ASM81504v1"	10	0	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000815085.1_ASM81508v1"	10	0	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000815125.1_ASM81512v1"	10	0	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000815165.1_ASM81516v1"	10	0	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000815205.1_ASM81520v1"	10	0	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000815245.1_ASM81524v1"	10	0	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_000828035.1_ASM82803v1"	17	2	1	0	"MRSA"	13	984	548	"1.303.042.521"	855	0	0	0	0	99.795	49.842	"-33.296.778"	75.037	710	287	"-920.022.095"	510
"GCA_000953255.1_Staphylococcus_aureus_Sa_ILRI_217"	9	0	0	0	"MSSA"	13	986	549	"-1.401.298.314"	855	0	0	0	0	99.795	49.684	"666.578.865"	75.187	710	287	"-1.692.690.905"	510
"GCA_000967325.1_ASM96732v1"	13	1	1	0	"MRSA"	13	983	548	"2.030.422.489"	855	0	0	0	0	99.795	49.842	"-1.156.773.573"	74.885	710	287	"-920.022.095"	510
"GCA_000967345.1_ASM96734v1"	13	1	1	0	"MRSA"	13	983	548	"-1.878.210.402"	855	0	0	0	0	99.795	49.842	"-1.156.773.573"	74.885	710	287	"-920.022.095"	510
"GCA_000967365.1_ASM96736v1"	13	1	1	0	"MRSA"	13	983	548	"-1.878.210.402"	855	0	0	0	0	99.795	49.842	"-1.156.773.573"	74.885	710	287	"-920.022.095"	510
"GCA_000967385.1_ASM96738v1"	13	1	1	0	"MRSA"	13	983	548	"2.030.422.489"	855	0	0	0	0	99.795	49.842	"-1.156.773.573"	74.885	710	287	"-920.022.095"	510
"GCA_000967405.1_ASM96740v1"	13	1	1	0	"MRSA"	13	983	548	"2.030.422.489"	855	0	0	0	0	99.795	49.842	"-1.156.773.573"	74.885	710	287	"-920.022.095"	510
"GCA_000969225.1_ASM96922v1"	13	0	1	0	"MRSA"	13	983	548	"-332.872.783"	853	0	0	0	0	99.795	49.842	"966.919.641"	74.579	710	287	"-920.022.095"	510
"GCA_001018645.2_ASM101864v2"	9	0	0	0	"MSSA"	13	986	548	"485.084.869"	855	0	0	0	0	99.795	50	"-977.358.533"	74.885	710	287	"-920.022.095"	510
"GCA_001018655.2_ASM101865v2"	12	0	0	0	"MSSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"-403.586.993"	74.732	710	287	"-920.022.095"	510
"GCA_001018685.2_ASM101868v2"	9	0	0	0	"MSSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_001018725.2_ASM101872v2"	9	0	0	0	"MSSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"-403.586.993"	74.732	710	287	"-920.022.095"	510
"GCA_001018735.2_ASM101873v2"	11	1	0	0	"MRSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"-403.586.993"	74.732	710	287	"-920.022.095"	510
"GCA_001018775.2_ASM101877v2"	9	0	0	0	"MSSA"	13	983	548	"1.257.753.679"	855	0	0	0	0	99.795	49.842	"-711.398.164"	74.885	710	287	"-920.022.095"	510
"GCA_001018805.2_ASM101880v2"	9	0	0	0	"MSSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"-403.586.993"	74.732	710	287	"-920.022.095"	510
"GCA_001018835.2_ASM101883v2"	10	1	1	0	"MRSA"	13	985	548	"-1.878.210.402"	855	0	0	0	0	99.795	49.684	"-1.670.358.095"	74.885	710	287	"-920.022.095"	510
"GCA_001018845.2_ASM101884v2"	9	0	0	0	"MSSA"	13	984	548	"-242.295.099"	855	0	0	0	0	99.795	49.842	"-133.042.570"	75.037	710	287	"-920.022.095"	510
"GCA_001018915.2_ASM101891v2"	9	0	0	0	"MSSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"-403.586.993"	74.732	710	287	"-920.022.095"	510
"GCA_001018975.2_ASM101897v2"	10	1	0	0	"MRSA"	13	986	549	"-1.014.963.909"	855	0	0	0	0	99.795	49.684	"666.578.865"	75.187	710	287	"-1.692.690.905"	510
"GCA_001019125.2_ASM101912v2"	9	0	1	0	"MRSA"	13	986	548	"871.419.274"	855	0	0	0	0	99.795	50	"-977.358.533"	74.885	710	287	"-920.022.095"	510
"GCA_001019205.2_ASM101920v2"	12	1	1	0	"MRSA"	13	983	548	"1.644.088.084"	853	0	0	0	0	99.795	49.842	"1.342.939.924"	74.885	710	287	"-920.022.095"	510
"GCA_001019255.2_ASM101925v2"	12	1	1	0	"MRSA"	13	983	548	"1.644.088.084"	853	0	0	0	0	99.795	49.842	"1.342.939.924"	74.885	710	287	"-920.022.095"	510
"GCA_001019275.2_ASM101927v2"	10	0	0	0	"MSSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"-403.586.993"	74.732	710	287	"-920.022.095"	510
"GCA_001019305.2_ASM101930v2"	14	0	1	0	"MRSA"	13	983	548	"-1.878.210.402"	853	0	0	0	0	99.795	49.842	"76.688"	74.885	710	287	"-920.022.095"	510
"GCA_001019395.2_ASM101939v2"	10	0	1	0	"MRSA"	13	986	549	"798"	855	0	0	0	0	99.795	49.684	"-420.777.196"	75.187	710	287	"-1.692.690.905"	510
"GCA_001019415.2_ASM101941v2"	9	0	0	0	"MSSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"-403.586.993"	74.732	710	287	"-920.022.095"	510
"GCA_001019435.2_ASM101943v2"	15	0	1	0	"MRSA"	13	983	548	"1.644.088.084"	855	0	0	0	0	99.795	49.842	"-1.349.940.775"	74.885	710	287	"-920.022.095"	510
"GCA_001019485.2_ASM101948v2"	13	1	1	0	"MRSA"	13	986	548	"-1.446.587.156"	855	0	0	0	0	99.795	50	"1.324.603.707"	74.885	710	287	"-920.022.095"	510
"GCA_001019495.2_ASM101949v2"	15	0	1	0	"MRSA"	13	983	548	"1.644.088.084"	855	0	0	0	0	99.795	49.842	"-1.349.940.775"	74.885	710	287	"-920.022.095"	510
"GCA_001019535.2_ASM101953v2"	9	0	1	0	"MRSA"	13	986	548	"871.419.274"	855	0	0	0	0	99.795	50	"-977.358.533"	74.885	710	287	"-920.022.095"	510
"GCA_001019575.2_ASM101957v2"	11	0	1	0	"MRSA"	13	983	548	"-1.878.210.402"	855	0	0	0	0	99.795	49.684	"1.089.585.703"	74.885	710	287	"-920.022.095"	510
"GCA_001021875.1_ASM102187v1"	11	1	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_001021895.1_ASM102189v1"	12	1	1	0	"MRSA"	13	986	548	"871.419.274"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_001027045.1_ASM102704v1"	10	1	0	0	"MRSA"	13	969	548	"218.868.815"	838	0	0	0	0	99.758	49.684	"-1.721.800.862"	75.038	710	287	"-1.050.371.623"	509
"GCA_001027105.1_ASM102710v1"	9	0	0	0	"MSSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	50	"-403.586.993"	74.732	710	287	"-920.022.095"	510
"GCA_001045795.2_ASM104579v2"	11	1	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_001045995.2_ASM104599v2"	13	1	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_001046095.2_ASM104609v2"	14	1	1	0	"MRSA"	13	986	548	"-1.446.587.156"	855	0	0	0	0	99.795	50	"1.324.603.707"	74.885	710	287	"-920.022.095"	510
"GCA_001183705.3_ASM118370v3"	15	1	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_001183725.2_ASM118372v2"	15	1	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_001278745.1_ASM127874v1"	18	0	0	0	"MSSA"	13	983	548	"2.030.422.489"	855	0	0	0	0	99.795	49.842	"1.599.732.185"	74.885	710	287	"-920.022.095"	510
"GCA_001281145.1_ASM128114v1"	10	1	0	0	"MRSA"	13	983	548	"1.257.753.679"	855	0	0	0	0	99.795	49.842	"-711.398.164"	74.885	710	287	"-920.022.095"	510
"GCA_001296985.1_ASM129698v1"	16	1	1	0	"MRSA"	13	986	549	"2.075.711.330"	855	0	0	0	0	99.795	49.684	"1.201.937.644"	75.037	710	287	"-920.022.095"	510
"GCA_001298325.2_ASM129832v2"	16	2	1	0	"MRSA"	13	984	548	"-673.918.346"	855	0	0	0	0	99.795	49.684	"-656.941.213"	74.885	710	287	"-920.022.095"	510
"GCA_001444345.1_ASM144434v1"	10	1	0	0	"MRSA"	13	984	548	"916.708.116"	853	0	0	0	0	99.795	49.842	"765.730.343"	75.038	710	287	"-920.022.095"	510
"GCA_001457495.1_NCTC13435"	12	0	1	0	"MRSA"	13	986	548	"-1.832.921.561"	855	0	0	0	0	99.795	49.684	"-1.878.423.473"	75.037	710	287	"-920.022.095"	510
"GCA_001465635.1_ASM146563v1"	13	1	1	0	"MRSA"	13	986	548	"798"	855	0	0	0	0	99.795	49.842	"-2.134.069.721"	75.187	710	287	"-1.306.356.500"	510
"GCA_001465675.1_ASM146567v1"	13	1	1	0	"MRSA"	13	986	548	"798"	855	0	0	0	0	99.795	49.842	"-2.134.069.721"	75.187	710	287	"-1.306.356.500"	510
"GCA_001515665.1_ASM151566v1"	20	1	1	0	"MRSA"	13	986	548	"1.689.376.926"	855	0	0	0	0	99.795	49.684	"28.036.254"	75.187	710	287	"-1.692.690.905"	510
"GCA_001515685.1_ASM151568v1"	20	1	1	0	"MRSA"	13	986	548	"1.689.376.926"	855	0	0	0	0	99.795	49.684	"28.036.254"	75.187	710	287	"-1.692.690.905"	510
"GCA_001515705.1_ASM151570v1"	20	1	1	0	"MRSA"	13	986	548	"1.689.376.926"	855	0	0	0	0	99.795	49.684	"28.036.254"	75.187	710	287	"-1.692.690.905"	510
"GCA_001515745.1_ASM151574v1"	19	1	1	0	"MRSA"	13	986	548	"1.689.376.926"	855	0	0	0	0	99.795	49.684	"28.036.254"	75.187	710	287	"-1.692.690.905"	510
"GCA_001515765.1_ASM151576v1"	18	1	1	0	"MRSA"	13	986	548	"1.689.376.926"	855	0	0	0	0	99.795	49.684	"28.036.254"	75.187	710	287	"-1.692.690.905"	510
"GCA_001548295.1_ASM154829v1"	8	0	0	0	"MSSA"	13	985	548	"-1.060.252.751"	855	0	0	0	0	99.659	50	"-208.127.764"	74.848	710	287	"670.604.367"	510
"GCA_001548415.1_ASM154841v1"	17	1	1	0	"MRSA"	13	983	548	"1.257.753.679"	855	0	0	0	0	99.795	49.842	"-711.398.164"	74.885	710	287	"-920.022.095"	510
"GCA_001549655.1_ASM154965v1"	12	1	1	0	"MRSA"	13	986	546	"-287.583.941"	855	0	0	0	0	99.795	49.842	"-909.149.420"	75.037	710	287	"-920.022.095"	510
"GCA_001549675.1_ASM154967v1"	12	1	1	0	"MRSA"	13	986	546	"-287.583.941"	855	0	0	0	0	99.795	49.842	"-909.149.420"	75.037	710	287	"-920.022.095"	510
"GCA_001558795.2_ASM155879v2"	14	1	0	0	"MRSA"	13	983	548	"1.644.088.084"	855	0	0	0	0	99.795	49.842	"-711.398.164"	74.885	710	287	"-920.022.095"	510
"GCA_001580495.1_ASM158049v1"	12	1	1	0	"MRSA"	13	986	546	"797"	855	0	0	0	0	99.795	49.842	"-909.149.420"	75.037	710	287	"-920.022.095"	510
"GCA_001580515.1_ASM158051v1"	15	5	1	0	"MRSA"	13	986	548	"797"	855	0	0	0	0	99.795	50	"-1.490.943.055"	74.732	710	287	"-920.022.095"	510
"GCA_001594205.1_ASM159420v1"	8	0	0	0	"MSSA"	13	986	548	"1.257.753.679"	855	0	0	0	0	99.652	49.684	"-698.792.015"	75.037	710	287	"1.443.273.177"	510
"GCA_001611325.1_ASM161132v1"	10	1	0	0	"MRSA"	13	986	548	"-287.583.941"	852	0	0	0	0	99.795	49.525	"76.74"	75.037	710	287	"-920.022.095"	510
"GCA_001611345.1_ASM161134v1"	9	0	0	0	"MSSA"	13	986	548	"-287.583.941"	852	0	0	0	0	99.795	49.525	"76.74"	75.037	710	287	"-920.022.095"	510
"GCA_001611365.1_ASM161136v1"	10	1	0	0	"MRSA"	13	984	548	"-1.446.587.156"	855	0	0	0	0	99.795	49.842	"556.518.951"	74.732	710	287	"-920.022.095"	510
"GCA_001611385.1_ASM161138v1"	10	1	0	0	"MRSA"	13	984	548	"-1.446.587.156"	855	0	0	0	0	99.795	49.842	"556.518.951"	74.732	710	287	"-920.022.095"	510
"GCA_001611405.1_ASM161140v1"	10	1	0	0	"MRSA"	13	986	548	"-287.583.941"	852	0	0	0	0	99.795	49.525	"76.74"	75.037	710	287	"-920.022.095"	510
"GCA_001611425.1_ASM161142v1"	10	1	0	0	"MRSA"	13	986	548	"-287.583.941"	852	0	0	0	0	99.795	49.525	"76.74"	75.037	710	287	"-920.022.095"	510
"GCA_001618305.1_ASM161830v1"	10	0	1	0	"MRSA"	13	983	548	"-1.491.875.998"	853	0	0	0	0	99.795	49.842	"-959.022.316"	74.885	710	287	"-920.022.095"	510
"GCA_001640885.1_ASM164088v1"	14	0	1	0	"MRSA"	13	983	548	"1.644.088.084"	855	0	0	0	0	99.795	49.842	"-1.349.940.775"	74.885	710	287	"-920.022.095"	510
"GCA_001640905.1_ASM164090v1"	16	1	1	0	"MRSA"	13	983	548	"1.644.088.084"	855	0	0	0	0	99.795	49.842	"-1.349.940.775"	74.885	710	287	"-920.022.095"	510
"GCA_001640925.1_ASM164092v1"	16	1	1	0	"MRSA"	13	983	548	"1.644.088.084"	855	0	0	0	0	99.795	49.842	"-1.349.940.775"	74.885	710	287	"-920.022.095"	510
